i,LOCATION,Renew_Val,Code,ranking,gdpcap,population,gdp,poverty,x,y,region,plot1,plot2,plot3,plot4,info
4,Eritrea,74.89398,ERI,217,1600,5069,8110400,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
5,Togo,83.839,TGO,213,2100,7698,16165800,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
6,Ethiopia,90.89101,ETH,205,2300,106400,244720000,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
1,"Congo, Democratic Republic of the",97.37576,COD,226,1100,81399,89538900,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
2,Mozambique,79.52884,MOZ,224,1200,28649,34378800,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
3,Niger,77.16901,NER,225,1200,21602,25922400,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
8,Tanzania,84.35101,TZA,202,2600,54660,142116000,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
24,Nigeria,76.91483,NGA,174,4900,190873,935277700,Low,0,0,AFRICA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
21,Pakistan,36.25954,PAK,177,4600,207906,956367600,Low,0,0,ASIA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
29,India,23.16837,IND,163,6100,1338677,8165929700,Medidum-Low,0,0,ASIA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
71,China,9.178692,CHN,102,16400,1421022,23304760800,Medium-High,0,0,ASIA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
128,Brunei Darussalam,0.003659498,BRN,14,62200,424,26372800,High,0,0,ASIA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
49,Indonesia,26.79499,IDN,132,11400,264651,3017021400,Medidum-Low,0,0,ASIA,plot1,plot2,plot3,plot4,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Donec odio. Quisque volutpat mattis eros. Nullam malesuada erat ut turpis. Suspendisse urna nibh, viverra non, semper suscipit, posuere a, pede."
