"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",108.107,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",105.749,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",109.458,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",110.743,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",112.662,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",113.485,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2006",117.94,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2007",121.171,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2008",125.751,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2009",125.931,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2010",126.24,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2011",126.969,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2012",125.575,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2013",127.388,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2014",126.755,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2015",126.589,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2016",126.207,
"AUS","PRYENRGSUPPLY","TOT","MLN_TOE","A","2017",127.881,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2000",28.609,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2001",30.229,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2002",30.483,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2003",32.136,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2004",32.656,
"AUT","PRYENRGSUPPLY","TOT","MLN_TOE","A","2005",33.605,
